Portfolio,Geography,Category,Brand,Segment,Initial_Sales,Margin,Min_Trend,Max_Trend,Min_Contribution,Max_Contribution
Fragrance + Color Cosmetics,South America,Hair Dye,Bobbi Brown,Bronzer,2299971,59,-1,3,7,14
Fragrance + Color Cosmetics,Europe,Tools,Aveda,Lipstick,1073881,60,-5,15,5,40
Fragrance + Color Cosmetics,South America,Hair Dye,Aveda,Bronzer,4378551,37,-5,15,5,40
Fragrance + Color Cosmetics,South America,Tools,Frederic Malle,Fragrance,2113560,59,-3,4,5,40
Fragrance + Color Cosmetics,North America,Hair Dye,Aveda,Bronzer,3695741,51,-5,15,5,40
Hair/APDO,South America,Fragrance,Elizabeth Arden,Fragrance,1050428,41,0,7,6,15
Skin/Body,South America,Tools,Frederic Malle,Bronzer,897172,36,-3,4,5,40
Fragrance + Color Cosmetics,Europe,Face Make-Up,Balmain,Mascara,1254085,41,-5,15,5,40
Skin/Body,Europe,Fragrance,Bobbi Brown,Toner,1251993,60,-1,3,7,14
Hair/APDO,Asia,Face Make-Up,Frederic Malle,Bronzer,4602748,46,-3,4,4,30
Fragrance + Color Cosmetics,Europe,Make Up Brushes,Elizabeth Arden,Mascara,817942,54,0,7,6,15
Skin/Body,North America,Face Make-Up,Elizabeth Arden,Bronzer,3330514,57,0,7,6,15
Hair/APDO,North America,Fragrance,Frederic Malle,Fragrance,4766399,51,-3,4,4,30
Skin/Body,South America,Tools,Frederic Malle,Fragrance,1402473,56,-3,4,5,40
Hair/APDO,South America,Hair Dye,Aveda,Toner,2143906,44,0,15,4,30
Hair/APDO,Europe,Make Up Brushes,Aveda,Toner,1947307,35,0,15,4,30
Hair/APDO,Europe,Tools,Aveda,Toner,3951001,32,0,15,4,30
Hair/APDO,Asia,Face Make-Up,Aveda,Toner,2889127,42,0,15,4,30
Hair/APDO,Asia,Tools,Balmain,Lipstick,1751661,57,0,15,4,30
Skin/Body,North America,Fragrance,Elizabeth Arden,Mascara,2304053,38,0,7,6,15
Skin/Body,North America,Make Up Brushes,Kilian,Mascara,2082701,40,-5,15,5,40
Skin/Body,North America,Hair Dye,Bobbi Brown,Lipstick,1517497,46,-1,3,7,14
Fragrance + Color Cosmetics,Asia,Fragrance,Bobbi Brown,Lipstick,3594510,52,-1,3,7,14
Skin/Body,South America,Fragrance,Frederic Malle,Fragrance,690285,40,-3,4,5,40
Fragrance + Color Cosmetics,South America,Make Up Brushes,Kilian,Bronzer,3216826,48,-5,15,5,40
Hair/APDO,North America,Make Up Brushes,Bobbi Brown,Lipstick,1611288,33,-1,3,7,14
Fragrance + Color Cosmetics,Asia,Face Make-Up,Frederic Malle,Fragrance,1331635,42,-3,4,5,40
Fragrance + Color Cosmetics,Europe,Hair Dye,Frederic Malle,Mascara,4951116,52,-3,4,5,40
Fragrance + Color Cosmetics,South America,Make Up Brushes,Aveda,Mascara,1910808,44,-5,15,5,40
Hair/APDO,South America,Face Make-Up,Balmain,Fragrance,3413293,55,0,15,4,30
Fragrance + Color Cosmetics,North America,Make Up Brushes,Kilian,Lipstick,4570101,48,-5,15,5,40
Hair/APDO,Asia,Face Make-Up,Frederic Malle,Bronzer,882811,52,-3,4,4,30
Hair/APDO,North America,Face Make-Up,Bobbi Brown,Toner,4896208,49,-1,3,7,14
Skin/Body,Europe,Face Make-Up,Frederic Malle,Toner,2199660,37,-3,4,5,40
Fragrance + Color Cosmetics,South America,Make Up Brushes,Elizabeth Arden,Bronzer,1347405,45,0,7,6,15
Hair/APDO,South America,Tools,Frederic Malle,Fragrance,4288264,54,-3,4,4,30
Skin/Body,Europe,Face Make-Up,Balmain,Toner,2172349,52,-5,15,5,40
Skin/Body,South America,Hair Dye,Kilian,Fragrance,3667126,54,-5,15,5,40
Hair/APDO,North America,Make Up Brushes,Frederic Malle,Toner,3224274,44,-3,4,4,30
Fragrance + Color Cosmetics,South America,Hair Dye,Bobbi Brown,Toner,2573946,35,-1,3,7,14
Skin/Body,North America,Tools,Kilian,Fragrance,3647887,55,-5,15,5,40
Skin/Body,North America,Fragrance,Bobbi Brown,Fragrance,2140027,51,-1,3,7,14
Skin/Body,Asia,Fragrance,Frederic Malle,Lipstick,3098385,55,-3,4,5,40
Skin/Body,Europe,Face Make-Up,Kilian,Fragrance,2685132,35,-5,15,5,40
Hair/APDO,Europe,Hair Dye,Balmain,Fragrance,2024960,32,0,15,4,30
Hair/APDO,Europe,Fragrance,Bobbi Brown,Fragrance,887773,53,-1,3,7,14
Skin/Body,Asia,Fragrance,Aveda,Lipstick,3083677,57,-5,15,5,40
Hair/APDO,Europe,Fragrance,Frederic Malle,Fragrance,1867064,48,-3,4,4,30
Fragrance + Color Cosmetics,South America,Fragrance,Kilian,Mascara,2896640,48,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Frederic Malle,Mascara,2416796,54,-3,4,5,40
Skin/Body,Europe,Tools,Frederic Malle,Lipstick,2284094,45,-3,4,5,40
Fragrance + Color Cosmetics,Europe,Fragrance,Bobbi Brown,Mascara,4524919,57,-1,3,7,14
Skin/Body,North America,Make Up Brushes,Kilian,Fragrance,2931129,38,-5,15,5,40
Skin/Body,Asia,Face Make-Up,Kilian,Bronzer,2469412,34,-5,15,5,40
Hair/APDO,Europe,Hair Dye,Aveda,Fragrance,4175049,33,0,15,4,30
Skin/Body,Europe,Tools,Kilian,Toner,3128973,45,-5,15,5,40
Skin/Body,Europe,Tools,Balmain,Toner,2524611,34,-5,15,5,40
Skin/Body,Asia,Tools,Frederic Malle,Bronzer,1530451,53,-3,4,5,40
Hair/APDO,Europe,Make Up Brushes,Aveda,Fragrance,4366585,43,0,15,4,30
Hair/APDO,North America,Fragrance,Frederic Malle,Bronzer,4010764,41,-3,4,4,30
Fragrance + Color Cosmetics,North America,Tools,Frederic Malle,Bronzer,2860901,39,-3,4,5,40
Hair/APDO,Europe,Face Make-Up,Frederic Malle,Toner,3791987,51,-3,4,4,30
Skin/Body,South America,Face Make-Up,Bobbi Brown,Toner,1290671,59,-1,3,7,14
Skin/Body,Asia,Fragrance,Bobbi Brown,Toner,3004973,52,-1,3,7,14
Skin/Body,South America,Make Up Brushes,Elizabeth Arden,Toner,4384175,46,0,7,6,15
Hair/APDO,Europe,Face Make-Up,Frederic Malle,Bronzer,1498899,45,-3,4,4,30
Hair/APDO,Europe,Fragrance,Aveda,Fragrance,4705089,36,0,15,4,30
Skin/Body,Europe,Hair Dye,Elizabeth Arden,Fragrance,4957910,59,0,7,6,15
Skin/Body,Europe,Face Make-Up,Frederic Malle,Toner,886213,59,-3,4,5,40
Skin/Body,Europe,Face Make-Up,Frederic Malle,Fragrance,1377751,51,-3,4,5,40
Hair/APDO,Europe,Face Make-Up,Balmain,Bronzer,2301951,45,0,15,4,30
Fragrance + Color Cosmetics,South America,Fragrance,Aveda,Lipstick,2015509,58,-5,15,5,40
Hair/APDO,South America,Face Make-Up,Elizabeth Arden,Fragrance,1808166,37,0,7,6,15
Hair/APDO,North America,Face Make-Up,Elizabeth Arden,Bronzer,1830728,52,0,7,6,15
Hair/APDO,South America,Hair Dye,Aveda,Lipstick,3924638,47,0,15,4,30
Skin/Body,South America,Tools,Balmain,Bronzer,4637075,44,-5,15,5,40
Fragrance + Color Cosmetics,South America,Tools,Aveda,Lipstick,3773751,57,-5,15,5,40
Hair/APDO,Europe,Hair Dye,Elizabeth Arden,Mascara,3091822,44,0,7,6,15
Fragrance + Color Cosmetics,South America,Hair Dye,Bobbi Brown,Toner,3300174,59,-1,3,7,14
Skin/Body,North America,Hair Dye,Aveda,Bronzer,3996716,46,-5,15,5,40
Skin/Body,Europe,Make Up Brushes,Elizabeth Arden,Lipstick,4849025,58,0,7,6,15
Fragrance + Color Cosmetics,Europe,Tools,Aveda,Lipstick,3205421,35,-5,15,5,40
Hair/APDO,Europe,Hair Dye,Kilian,Fragrance,647032,43,0,15,4,30
Fragrance + Color Cosmetics,North America,Make Up Brushes,Aveda,Fragrance,2218562,50,-5,15,5,40
Skin/Body,Asia,Hair Dye,Frederic Malle,Lipstick,4783664,40,-3,4,5,40
Fragrance + Color Cosmetics,South America,Hair Dye,Bobbi Brown,Fragrance,2828033,36,-1,3,7,14
Fragrance + Color Cosmetics,Europe,Fragrance,Kilian,Fragrance,3805107,34,-5,15,5,40
Hair/APDO,North America,Tools,Kilian,Fragrance,4300760,39,0,15,4,30
Fragrance + Color Cosmetics,North America,Face Make-Up,Bobbi Brown,Mascara,4346300,52,-1,3,7,14
Fragrance + Color Cosmetics,South America,Fragrance,Frederic Malle,Lipstick,4143488,60,-3,4,5,40
Skin/Body,Asia,Make Up Brushes,Bobbi Brown,Fragrance,3669562,47,-1,3,7,14
Hair/APDO,South America,Fragrance,Bobbi Brown,Mascara,2363907,38,-1,3,7,14
Fragrance + Color Cosmetics,Europe,Hair Dye,Frederic Malle,Mascara,4926421,53,-3,4,5,40
Skin/Body,North America,Tools,Balmain,Fragrance,2643184,39,-5,15,5,40
Hair/APDO,Europe,Face Make-Up,Elizabeth Arden,Mascara,3026915,31,0,7,6,15
Hair/APDO,South America,Hair Dye,Frederic Malle,Mascara,1380432,30,-3,4,4,30
Fragrance + Color Cosmetics,South America,Tools,Aveda,Mascara,4439625,43,-5,15,5,40
Hair/APDO,Asia,Face Make-Up,Elizabeth Arden,Bronzer,1742522,53,0,7,6,15
Fragrance + Color Cosmetics,Asia,Fragrance,Elizabeth Arden,Lipstick,2541215,46,0,7,6,15
Hair/APDO,South America,Face Make-Up,Elizabeth Arden,Lipstick,4386613,52,0,7,6,15
Hair/APDO,Asia,Tools,Balmain,Lipstick,1161440,39,0,15,4,30
Hair/APDO,Europe,Hair Dye,Frederic Malle,Lipstick,881325,35,-3,4,4,30
Hair/APDO,North America,Face Make-Up,Balmain,Lipstick,3401884,41,0,15,4,30
Skin/Body,Asia,Tools,Aveda,Fragrance,2089426,30,-5,15,5,40
Skin/Body,South America,Tools,Aveda,Bronzer,2335068,56,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Hair Dye,Bobbi Brown,Lipstick,2701279,33,-1,3,7,14
Hair/APDO,North America,Fragrance,Balmain,Bronzer,4714086,50,0,15,4,30
Hair/APDO,Europe,Tools,Bobbi Brown,Toner,4426449,31,-1,3,7,14
Skin/Body,North America,Tools,Bobbi Brown,Lipstick,4944910,49,-1,3,7,14
Skin/Body,Europe,Face Make-Up,Frederic Malle,Fragrance,3716662,30,-3,4,5,40
Hair/APDO,Europe,Tools,Bobbi Brown,Toner,1932672,55,-1,3,7,14
Hair/APDO,Asia,Tools,Balmain,Lipstick,2965596,34,0,15,4,30
Fragrance + Color Cosmetics,South America,Hair Dye,Kilian,Fragrance,2182978,55,-5,15,5,40
Hair/APDO,South America,Tools,Frederic Malle,Lipstick,3722018,38,-3,4,4,30
Fragrance + Color Cosmetics,Asia,Hair Dye,Balmain,Lipstick,4278271,30,-5,15,5,40
Fragrance + Color Cosmetics,South America,Hair Dye,Frederic Malle,Mascara,1428864,59,-3,4,5,40
Fragrance + Color Cosmetics,South America,Hair Dye,Balmain,Bronzer,2966511,53,-5,15,5,40
Skin/Body,Asia,Face Make-Up,Bobbi Brown,Lipstick,3099098,43,-1,3,7,14
